Nom commercial;BLANCHEUR_APPLI;BLANCHEUR_5MIN;BLANCHEUR_15MIN;BLANCHMOUILL_15MIN;BRILLANCE_5MIN;BRILLANCE_15MIN;COLLANT_APPLI;COLLANT_5MIN;COLLANT_15MIN;CRISSANT_APPLI;EPAISSEUR_APPLI;ETALEMENT_APPLI;FILMOGENE_5MIN;FILMOGENE_15MIN;HUILEUX_APPLI;HUILEUX_5MIN;HUILEUX_15MIN;MOUILLE_APPLI;OPACITE_APPLI;PELUCHEUX_5MIN;PELUCHEUX_15MIN;PENETRATION_APPLI;RESISTANT_5MIN;RESISTANT_15MIN;SAVONNAGE_APPLI;SOUPLESSE_5MIN;SOUPLESSE_15MIN;TENSION_5MIN;TENSION_15MIN;TOUCHERPOUDRE_5MIN;TOUCHERPOUDRE_15MIN
A;9;5;4;10;12;8;28;14;9;20;54;73;26;20;22;7;3;16;92;2;4;53;15;13;7;48;47;7;8;20;22
B;6;4;4;9;13;10;40;22;15;7;37;81;26;20;29;12;5;32;89;2;1;48;27;26;12;50;50;13;10;16;19
C;11;4;4;8;51;35;39;32;24;19;14;80;42;27;69;46;21;21;83;0;0;34;31;26;16;62;57;4;8;8;4
D;9;5;5;12;11;8;43;19;13;22;10;79;30;24;29;11;4;23;77;1;0;63;32;23;9;50;48;11;7;19;22
E;6;4;4;10;9;11;38;19;10;20;8;62;35;23;22;10;4;16;76;0;0;70;33;22;4;49;46;9;7;18;18
G;13;9;6;12;42;28;9;7;8;42;6;79;41;27;36;29;15;36;76;5;1;39;22;22;13;59;53;8;8;15;16
H;11;7;6;11;25;18;23;11;8;16;16;78;30;26;33;18;11;13;85;0;0;68;21;17;8;53;45;13;10;26;24
I;12;3;3;10;31;20;34;14;14;16;34;77;33;25;37;20;12;18;87;0;0;50;28;18;21;50;47;14;13;20;19
J;22;11;9;17;21;14;33;19;8;16;49;61;42;31;36;24;12;14;88;1;2;38;32;20;28;54;51;8;7;14;18
K;19;9;6;14;13;10;18;9;6;16;28;72;29;21;29;15;7;15;91;2;1;49;25;18;21;52;50;10;9;24;23
L;8;7;6;12;30;25;43;29;19;14;18;73;41;33;44;23;9;19;84;1;1;50;46;29;17;49;46;13;12;9;11
M;11;6;6;15;14;9;27;14;9;14;17;69;27;23;29;17;6;18;90;11;6;36;39;27;23;49;44;14;7;17;16
N;5;4;3;11;15;14;62;25;16;21;29;87;28;26;18;6;3;34;79;4;2;56;42;30;6;47;44;17;10;11;12
O;44;27;18;27;28;23;36;30;21;21;26;76;44;38;28;25;20;15;88;1;1;43;50;42;16;48;48;12;14;12;13
P;13;4;4;12;29;22;27;19;15;18;16;74;40;34;38;23;14;19;88;1;0;46;44;36;18;51;47;10;9;12;12
Q;26;15;9;20;20;16;37;18;8;15;54;57;39;30;35;23;11;13;91;1;1;33;37;22;37;48;40;7;3;23;22
R;25;8;5;12;20;18;30;16;12;16;47;62;43;32;26;20;11;10;89;1;0;52;40;28;30;51;48;11;5;19;21
S;6;3;5;7;18;16;37;18;12;29;11;83;19;16;19;5;2;16;85;5;5;63;20;16;5;47;45;11;8;24;24
T;11;7;4;9;5;5;17;1;1;23;53;72;23;16;19;3;1;13;92;1;0;58;13;11;15;43;43;13;8;35;32
U;6;5;4;14;20;9;44;29;17;28;7;62;33;26;18;13;4;17;76;1;0;62;35;29;1;50;45;10;7;13;12
